x_transformed,y_transformed,Cluster,x_plot,y_plot
10527.715,17494.363,Invasive_Tumor,76.38574,424.71817
10575.67,17475.008,Invasive_Tumor,78.7835,423.7504
10551.011,17455.707,Stromal,77.55054,422.78537
10534.319,17440.875,Stromal,76.715965,422.04376
10508.291,17386.666,Prolif_Invasive_Tumor,75.41455,419.3333
10542.477,17382.307,Invasive_Tumor,77.12383,419.11533
10579.225,17367.168,Invasive_Tumor,78.961235,418.3584
10507.4375,17329.703,Stromal,75.37188,416.48517
10569.807,17315.385,Invasive_Tumor,78.49033,415.76926
10498.157,17288.807,Invasive_Tumor,74.90786,414.44034
10584.768,17285.254,CD8+_T_Cells,79.23838,414.2627
10525.12,17282.521,Invasive_Tumor,76.256004,414.12607
10562.186,17271.934,Invasive_Tumor,78.109276,413.59668
10539.492,17255.264,Invasive_Tumor,76.97461,412.76318
10509.709,17251.85,Invasive_Tumor,75.48545,412.5925
10569.874,17242.426,Invasive_Tumor,78.493706,412.1213
10534.496,17228.99,Invasive_Tumor,76.72481,411.44952
10497.86,17225.45,Invasive_Tumor,74.89302,411.27246
10569.166,17211.04,Invasive_Tumor,78.458305,410.55197
10487.129,17130.172,Invasive_Tumor,74.356445,406.5086
10568.388,17105.229,Invasive_Tumor,78.41939,405.26144
10509.4,17061.346,Macrophages_1,75.470024,403.0673
10517.649,17197.37,Invasive_Tumor,75.88247,409.86847
10519.238,17113.436,Invasive_Tumor,75.961914,405.67178
10536.778,17161.326,Invasive_Tumor,76.83892,408.0663
10510.168,17151.066,Prolif_Invasive_Tumor,75.5084,407.5533
10559.853,17141.846,Prolif_Invasive_Tumor,77.99263,407.0923
10538.418,17081.646,IRF7+_DCs,76.9209,404.08234
10569.037,17174.973,Invasive_Tumor,78.45186,408.74863
10563.302,17069.055,LAMP3+_DCs,78.16509,403.45273
10596.158,17086.566,Endothelial,79.807915,404.32834
10002.359,17118.082,Prolif_Invasive_Tumor,50.11797,405.9041
10006.532,17077.67,Invasive_Tumor,50.32661,403.8835
10009.582,17154.352,Invasive_Tumor,50.479103,407.7176
10042.388,17097.139,Invasive_Tumor,52.119385,404.85693
10040.369,17125.508,Invasive_Tumor,52.01846,406.2754
10047.151,17151.613,Invasive_Tumor,52.35757,407.58066
10073.25,17093.527,Prolif_Invasive_Tumor,53.662502,404.67636
10086.984,17128.164,Invasive_Tumor,54.34922,406.4082
10099.9375,17086.014,Invasive_Tumor,54.996876,404.3007
10126.35,17125.402,Invasive_Tumor,56.317482,406.2701
10126.623,17081.031,Invasive_Tumor,56.331154,404.05157
10145.594,17074.959,Invasive_Tumor,57.27969,403.74796
10157.193,17123.121,Invasive_Tumor,57.85967,406.15607
10174.68,17090.244,Prolif_Invasive_Tumor,58.733986,404.5122
10201.662,17105.219,Invasive_Tumor,60.083107,405.26096
10206.357,17135.68,Invasive_Tumor,60.31787,406.784
10223.351,17072.273,Invasive_Tumor,61.16753,403.61368
10229.9,17100.162,Invasive_Tumor,61.49502,405.00812
10254.061,17118.53,T_Cell_&_Tumor_Hybrid,62.70303,405.92648
10261.473,17093.146,Invasive_Tumor,63.073635,404.65732
10263.662,17072.99,Macrophages_1,63.183105,403.6495
10272.756,17151.727,CD8+_T_Cells,63.637794,407.58633
10298.187,17096.6,Macrophages_1,64.909325,404.83
10302.949,17131.057,T_Cell_&_Tumor_Hybrid,65.14746,406.55283
10314.768,17110.299,Macrophages_1,65.73838,405.51495
10331.989,17132.295,CD8+_T_Cells,66.599464,406.61475
10336.206,17102.365,CD4+_T_Cells,66.8103,405.11826
10337.268,17076.523,Macrophages_1,66.86338,403.82617
