x_transformed,y_transformed,group
19897.725,12541.685,CD1c+ Myeloid Dendritic Cell
19950.516,12517.328,Endothelial Cell
19952.275,12553.378,Memory B Cell
19850.967,12546.637,Naive B Cell
19733.158,12551.096,Macrophage
19575.012,12520.931,CD1c+ Myeloid Dendritic Cell
19561.588,12555.994,Endothelial Cell
19577.434,12541.94,Endothelial Cell
19595.668,12527.09,Hematopoietic Stem Cell
19658.393,12559.859,Naive Thymus Derived CD4+ αβ T Cell
19617.713,12525.673,Macrophage
19641.941,12538.214,Naive B Cell
19702.277,12527.525,Innate Lymphoid Cell
19677.78,12531.378,Memory B Cell
19686.797,12514.408,CD4+ αβ Memory T Cell
19695.807,12548.945,Macrophage
18811.248,12670.877,Stromal Cell
18846.164,12730.535,Endothelial Cell
18836.371,12703.703,CD4+ αβ Memory T Cell
18859.791,12714.207,B Cell
18857.117,12693.203,Naive Thymus Derived CD4+ αβ T Cell
19040.518,12690.85,Effector CD4+ αβ T Cell
18881.97,12713.155,Endothelial Cell
18900.525,12701.464,B Cell
18926.625,12713.035,Endothelial Cell
19024.396,12709.71,Naive Thymus Derived CD4+ αβ T Cell
19214.494,12683.696,Endothelial Cell
19177.031,12721.912,Mast Cell
19188.795,12690.798,Macrophage
19772.086,12673.777,Innate Lymphoid Cell
19739.877,12673.658,Memory B Cell
19757.555,12687.95,Regulatory T Cell
19777.484,12695.483,Regulatory T Cell
19726.768,12698.82,Naive Thymus Derived CD4+ αβ T Cell
19511.686,12701.513,Naive Thymus Derived CD4+ αβ T Cell
19678.643,12702.996,CD4+ αβ Memory T Cell
19747.674,12707.496,Plasma Cell
19674.979,12725.026,Type I NK T Cell
19729.258,12721.793,Stromal Cell
19767.01,12707.733,Stromal Cell
19843.777,12720.047,Macrophage
19793.186,12708.43,T Cell
19794.232,12687.382,Memory B Cell
19815.56,12724.461,Stromal Cell
19814.79,12677.526,CD4+ αβ Memory T Cell
19836.535,12697.578,Non Classical Monocyte
19870.062,12665.468,Macrophage
19977.447,12680.03,CD4+ αβ Memory T Cell
19991.475,12729.356,Hematopoietic Stem Cell
19878.96,12735.492,Memory B Cell
19948.18,12722.391,Plasmacytoid Dendritic Cell
19074.969,12647.524,Memory B Cell
19039.14,12663.919,B Cell
19007.752,12665.206,Mast Cell
19011.602,12583.814,Hematopoietic Stem Cell
18984.268,12599.164,B Cell
18991.535,12571.676,CD1c+ Myeloid Dendritic Cell
19008.232,12606.211,B Cell
19061.773,12578.719,Mast Cell
19028.723,12573.367,Memory B Cell
19033.662,12597.584,Non Classical Monocyte
18943.709,12681.22,Memory B Cell
18900.928,12681.021,Memory B Cell
18883.402,12663.487,Innate Lymphoid Cell
18908.521,12660.025,Effector CD4+ αβ T Cell
18930.453,12653.776,B Cell
18832.605,12656.99,Endothelial Cell
18850.992,12673.975,Regulatory T Cell
18883.031,12621.242,Endothelial Cell
18868.102,12640.556,Innate Lymphoid Cell
18904.252,12636.015,Effector CD4+ αβ T Cell
18915.287,12576.047,Memory B Cell
18839.197,12560.617,Memory B Cell
18856.768,12572.335,Endothelial Cell
18877.219,12575.902,Endothelial Cell
18894.547,12591.893,Naive B Cell
18980.504,12676.686,Macrophage
18954.105,12653.315,CD4+ αβ Memory T Cell
18975.586,12647.467,Effector CD4+ αβ T Cell
18949.336,12630.394,B Cell
18939.16,12600.833,Endothelial Cell
18957.916,12609.377,Naive Thymus Derived CD4+ αβ T Cell
18967.172,12569.256,Naive Thymus Derived CD4+ αβ T Cell
18944.777,12570.653,Effector CD4+ αβ T Cell
18963.307,12589.267,Regulatory T Cell
19755.781,12592.171,Hematopoietic Stem Cell
19696.514,12603.133,Mast Cell
19713.252,12570.887,Endothelial Cell
19735.271,12587.411,Macrophage
19743.871,12608.177,Naive Thymus Derived CD4+ αβ T Cell
19593.629,12588.6,Macrophage
19538.266,12578.262,Endothelial Cell
19572.928,12589.101,CD4+ αβ Memory T Cell
19747.021,12631.477,Endothelial Cell
19730.262,12624.868,Memory B Cell
19740.68,12648.964,Innate Lymphoid Cell
19379.553,12578.84,Regulatory T Cell
19325.557,12584.745,Effector CD4+ αβ T Cell
19344.078,12570.004,Endothelial Cell
19357.686,12589.364,Effector CD4+ αβ T Cell
19255.375,12614.972,Hematopoietic Stem Cell
19101.623,12607.905,Memory B Cell
19202.188,12654.394,Memory B Cell
19235.543,12604.772,Endothelial Cell
19228.633,12634.327,Endothelial Cell
19303.383,12585.489,Hematopoietic Stem Cell
19119.436,12592.096,CD1c+ Myeloid Dendritic Cell
19214.408,12556.274,Mast Cell
19260.396,12590.648,CD141+ Myeloid Dendritic Cell
19283.645,12590.253,CD141+ Myeloid Dendritic Cell
19304.957,12608.221,B Cell
19293.453,12625.415,Naive Thymus Derived CD4+ αβ T Cell
19296.215,12677.6875,Macrophage
19561.174,12666.441,B Cell
19419.703,12649.832,B Cell
19506.988,12618.305,CD141+ Myeloid Dendritic Cell
19546.723,12649.078,Endothelial Cell
19551.293,12629.291,Plasma Cell
19440.97,12608.512,Endothelial Cell
19404.191,12578.404,B Cell
19420.564,12594.512,Innate Lymphoid Cell
19509.768,12569.124,Regulatory T Cell
19472.814,12586.794,Endothelial Cell
19487.014,12604.593,Endothelial Cell
19501.242,12587.782,CD4+ αβ Memory T Cell
19900.121,12568.213,Regulatory T Cell
19862.775,12566.817,Memory B Cell
19921.564,12602.154,CD4+ αβ Memory T Cell
19912.201,12583.433,CD8+ αβ Memory T Cell
19815.393,12624.242,Hematopoietic Stem Cell
19766.02,12628.409,Innate Lymphoid Cell
19783.143,12654.518,Memory B Cell
19804.285,12652.555,Endothelial Cell
19922.918,12632.986,CD141+ Myeloid Dendritic Cell
19872.318,12620.553,Hematopoietic Stem Cell
19892.172,12622.064,Hematopoietic Stem Cell
19906.916,12614.218,Endothelial Cell
19916.146,12655.826,Naive Thymus Derived CD4+ αβ T Cell
19977.72,12573.001,Endothelial Cell
19930.645,12564.725,B Cell
19949.588,12573.868,Memory B Cell
19970.54,12590.032,CD8+ αβ Memory T Cell
19941.137,12592.874,Effector CD4+ αβ T Cell
19984.06,12615.078,Memory B Cell
19946.02,12621.329,B Cell
19951.398,12644.338,Naive Thymus Derived CD4+ αβ T Cell
19960.12,12608.561,Memory B Cell
18776.002,12647.492,CD8+ αβ Memory T Cell
18733.041,12669.215,Memory B Cell
18772.959,12669.373,Endothelial Cell
18794.434,12664.771,Memory B Cell
18791.344,12699.426,Intermediate Monocyte
18803.006,12715.578,Naive Thymus Derived CD4+ αβ T Cell
18753.793,12574.821,Effector CD4+ αβ T Cell
18717.406,12567.993,Memory B Cell
18725.602,12592.209,CD8+ αβ Memory T Cell
18734.523,12580.48,Memory B Cell
18750.234,12605.339,Plasma Cell
18712.277,12603.369,Plasma Cell
18709.186,12626.799,CD141+ Myeloid Dendritic Cell
