x_transformed,y_transformed,group
10992.214,24985.328,T and NK Cells
16720.701,22313.871,Tumor Cells
16747.459,22349.766,Proliferative Tumor Cells
16759.105,22311.994,Tumor Cells
16630.201,22213.54,Macrophages
16657.568,22245.475,Proliferative Tumor Cells
16690.115,22231.373,Macrophages
16666.934,22216.521,Proliferative Tumor Cells
16714.89,22261.295,Macrophages
16755.326,22277.418,Proliferative Tumor Cells
16732.32,22270.264,Proliferative Tumor Cells
17417.84,22053.703,T and NK Cells
16821.129,22051.213,Malignant Cells Lining Cyst
17355.719,22089.467,T and NK Cells
17142.887,22077.496,T and NK Cells
17444.203,22057.55,T and NK Cells
17414.455,22175.059,Tumor Cells
17033.676,22182.908,Macrophages
17370.982,22218.883,Tumor Cells
17485.553,22126.959,Tumor Cells
17499.969,22151.21,Tumor Cells
17440.492,22147.514,Tumor Cells
17477.314,22170.906,Tumor Cells
17449.025,22183.098,Tumor Cells
17458.055,22224.422,Tumor Cells
17476.506,22202.186,Tumor Cells
17349.518,22248.11,Macrophages
17395.5,22302.732,Tumor Cells
17401.223,22273.623,Tumor Cells
17446.078,22296.38,Proliferative Tumor Cells
17268.314,22615.1,Proliferative Tumor Cells
17251.385,22631.018,Tumor Cells
17303.594,22623.152,Tumor Cells
17299.332,22647.2,Tumor Cells
17249.777,22693.447,Proliferative Tumor Cells
17286.94,22687.387,Tumor Cells
17276.518,22725.453,Malignant Cells Lining Cyst
17286.068,22664.004,Tumor Cells
17310.607,22695.43,Tumor Cells
16449.451,22654.51,Macrophages
14678.7295,22525.36,T and NK Cells
16425.162,22646.72,Malignant Cells Lining Cyst
16447.025,22625.455,Macrophages
16526.838,22668.275,Tumor Cells
16521.285,22726.246,Proliferative Tumor Cells
16514.793,22700.557,Tumor Cells
16500.365,22675.662,Tumor Cells
16565.674,22691.191,Proliferative Tumor Cells
16557.145,22663.469,Tumor Cells
13260.692,22535.025,T and NK Cells
13293.373,22777.717,T and NK Cells
13362.459,22750.52,T and NK Cells
13287.167,22447.719,Macrophages
12883.35,22404.717,T and NK Cells
11835.437,22766.03,Stromal Associated Fibroblasts
12834.059,22368.902,T and NK Cells
12847.0625,22397.887,T and NK Cells
16702.516,22671.465,Tumor Cells
16667.756,22667.318,Macrophages
16721.94,22691.475,Tumor Cells
16679.445,22712.57,Tumor Cells
16633.281,22678.646,Proliferative Tumor Cells
16599.775,22668.44,Macrophages
16605.648,22713.61,Proliferative Tumor Cells
16555.854,22614.05,Proliferative Tumor Cells
16659.469,22638.36,Macrophages
16566.77,22644.969,Tumor Cells
16584.668,22652.459,Tumor Cells
16597.648,22629.473,Tumor Cells
16722.775,22627.389,Macrophages
16972.34,22666.877,T and NK Cells
16739.941,22709.184,Macrophages
16742.639,22729.602,Tumor Cells
16757.639,22718.703,Tumor Cells
16757.305,22667.95,Tumor Cells
16820.78,22697.93,Proliferative Tumor Cells
