base_dir,test_method,simulation_name,dataset,experiment_name,file_method
./data/detection_results/decomposed/breast/,celina,breast_decompose_exp_0,breast,decompose_0,celina
./data/detection_results/decomposed/breast/,celina,breast_decompose_exp_1,breast,decompose_1,celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_1,2",breast,"decompose_1,2",celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_1,2,3",breast,"decompose_1,2,3",celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_1,2,3,4,5",breast,"decompose_1,2,3,4,5",celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_1,2,4",breast,"decompose_1,2,4",celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_1,2,5",breast,"decompose_1,2,5",celina
./data/detection_results/decomposed/breast/,celina,breast_decompose_exp_2,breast,decompose_2,celina
./data/detection_results/decomposed/breast/,celina,"breast_decompose_exp_2,4",breast,"decompose_2,4",celina
./data/detection_results/decomposed/breast/,celina,breast_decompose_exp_3,breast,decompose_3,celina
./data/detection_results/decomposed/breast/,celina,breast_decompose_exp_,breast,Idealized,celina
./data/detection_results/decomposed/breast/,cside,breast_decompose_exp_0,breast,decompose_0,cside
./data/detection_results/decomposed/breast/,cside,breast_decompose_exp_1,breast,decompose_1,cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_1,2",breast,"decompose_1,2",cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_1,2,3",breast,"decompose_1,2,3",cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_1,2,3,4,5",breast,"decompose_1,2,3,4,5",cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_1,2,4",breast,"decompose_1,2,4",cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_1,2,5",breast,"decompose_1,2,5",cside
./data/detection_results/decomposed/breast/,cside,breast_decompose_exp_2,breast,decompose_2,cside
./data/detection_results/decomposed/breast/,cside,"breast_decompose_exp_2,4",breast,"decompose_2,4",cside
./data/detection_results/decomposed/breast/,cside,breast_decompose_exp_3,breast,decompose_3,cside
./data/detection_results/decomposed/breast/,cside,breast_decompose_exp_,breast,Idealized,cside
./data/detection_results/decomposed/breast/,ctsv,breast_decompose_exp_0,breast,decompose_0,ctsv
./data/detection_results/decomposed/breast/,ctsv,breast_decompose_exp_1,breast,decompose_1,ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_1,2",breast,"decompose_1,2",ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_1,2,3",breast,"decompose_1,2,3",ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_1,2,3,4,5",breast,"decompose_1,2,3,4,5",ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_1,2,4",breast,"decompose_1,2,4",ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_1,2,5",breast,"decompose_1,2,5",ctsv
./data/detection_results/decomposed/breast/,ctsv,breast_decompose_exp_2,breast,decompose_2,ctsv
./data/detection_results/decomposed/breast/,ctsv,"breast_decompose_exp_2,4",breast,"decompose_2,4",ctsv
./data/detection_results/decomposed/breast/,ctsv,breast_decompose_exp_3,breast,decompose_3,ctsv
./data/detection_results/decomposed/breast/,ctsv,breast_decompose_exp_,breast,Idealized,ctsv
./data/detection_results/decomposed/breast/,spvc-noalt,breast_decompose_exp_0,breast,decompose_0,spvc
./data/detection_results/decomposed/breast/,spvc-noalt,breast_decompose_exp_1,breast,decompose_1,spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_1,2",breast,"decompose_1,2",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_1,2,3",breast,"decompose_1,2,3",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_1,2,3,4,5",breast,"decompose_1,2,3,4,5",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_1,2,4",breast,"decompose_1,2,4",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_1,2,5",breast,"decompose_1,2,5",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,breast_decompose_exp_2,breast,decompose_2,spvc
./data/detection_results/decomposed/breast/,spvc-noalt,"breast_decompose_exp_2,4",breast,"decompose_2,4",spvc
./data/detection_results/decomposed/breast/,spvc-noalt,breast_decompose_exp_3,breast,decompose_3,spvc
./data/detection_results/decomposed/breast/,spvc-noalt,breast_decompose_exp_,breast,Idealized,spvc
./data/detection_results/decomposed/breast/,stance,breast_decompose_exp_0,breast,decompose_0,stance
./data/detection_results/decomposed/breast/,stance,breast_decompose_exp_1,breast,decompose_1,stance
./data/detection_results/decomposed/breast/,stance,"breast_decompose_exp_1,2",breast,"decompose_1,2",stance
./data/detection_results/decomposed/breast/,stance,"breast_decompose_exp_1,2,3",breast,"decompose_1,2,3",stance
./data/detection_results/decomposed/breast/,stance,"breast_decompose_exp_1,2,3,4,5",breast,"decompose_1,2,3,4,5",stance
